CODE,SYMBOL
4514561,ZYDUSWELL
2029825,ZYDUSLIFE
979713,ZUARIIND
7436801,ZUARI
6137857,ZTECH-SM
2916865,ZOTA
978177,ZODIACLOTH
1825025,ZODIAC
3170305,ZIMLAB
4330241,ZFCVINDIA
1922049,ZENTEC
275457,ZENSARTECH
3727873,ZENITHSTL
1069057,ZENITHEXPO
5837569,ZENITHDRUG-SM
3585537,ZEEMEDIA-BE
5338113,ZEELEARN
975873,ZEEL
4548097,ZEAL-SM
4763649,ZAGGLE
1408257,YUKEN
4621057,YUDIZ-ST
3050241,YESBANK
4512513,YCCL-SM
4802561,YATRA
4540929,YATHARTH
6003457,YASHOPTICS-SM
4641537,YASHO
194782721,YAAP-SM
6460161,XTGLOBAL
2920193,XPROINDIA
2170113,XELPMOC
2996481,XCHANGING
5817601,WTICAB-SM
972545,WSTCSTPAPR
3795969,WSI
5702913,WORTHPERI
768513,WONDERLA
5024513,WOMANCART-SM
6554881,WOL3D-ST
1921537,WOCKPHARMA
969473,WIPRO
5243137,WIPL
3777793,WINSOME-BZ
6070785,WINSOL-SM
6188289,WINNY-SM
6392065,WINDMACHIN
1373697,WINDLAS
965633,WILLAMAGOR
193962241,WHITEFORCE-SM
4610817,WHIRLPOOL
964097,WHEELS
194415105,WEWORK
2524673,WEWIN
2964481,WESTLIFE
1084161,WENDT
2880769,WELSPUNLIV
5068801,WELINV
2976257,WELENT
3026177,WELCORP
2005761,WEL
959489,WEIZMANIND
3738113,WEBELSOLAR
492289,WEALTH
6503169,WCIL
3601153,WANBURY-BE
1283329,WALPAR-SM
956417,WALCHANNAG
194626305,WAKEFIT
5168129,WABAG
193545729,WAAREERTL
5109505,WAAREEINDO-BE
6632193,WAAREEENER
530689,VTL
6218753,VSTTILLERS
5818881,VSTL
953345,VSTIND
6929153,VSSL
5369089,VSCL-SM
5892609,VR-SM
2226177,VRLLOG
6226177,VRAJ
4695297,VPRPL
951809,VOLTAS
3475713,VOLTAMP
7592449,VOLERCAR-SM
194342913,VMSTMT
7160065,VMM
7496705,VMART
816129,VMARCIND-SM
951041,VLSFINANCE
6299137,VLINFRA-SM
4611073,VLEGOV
3659777,VIYASH
1948161,VIVO-SM
3063041,VIVIMEDLAB
7648513,VIVIDHA
2807553,VIVIANA-SM
194853889,VITAL
5982721,VISHWAS-SM
3507713,VISHWARAJ
4940801,VISHNUINFR-SM
1768449,VISHNU
3403521,VISASTEEL
6214913,VISAMAN-ST
1080577,VISAKAIND
3915521,VIRINCHI
2159873,VIPULLTD-BE
947969,VIPIND
3799809,VIPCLOTHNG
4306177,VINYLINDIA
4916737,VINYAS-SM
4581889,VINSYS-SM
3197441,VINNY
974593,VINEETLAB
945665,VINDHYATEL
6613761,VINCOFE
4445185,VINATIORGA
3353857,VIMTALABS
4341761,VILINBIO-ST
6120705,VILAS-SM
194297089,VIKRAN
194419969,VIKRAMSOLR
2542337,VIKASLIFE
6593537,VIKASECO
4529921,VIJIFIN-BE
194591745,VIJAYPD-ST
1429761,VIJAYA
194277889,VIGOR-SM
6459137,VIESL-SM
194617345,VIDYAWIRES
3465217,VIDHIING
194736897,VICTORYEV-SM
3664897,VIAZ-SM
5986817,VHLTD-BE
3044353,VHL
3932673,VGUARD
3525377,VGL
193807361,VGINFOTECH-SM
2214913,VETO
941057,VESUVIUS
4828929,VERTOZ
2753793,VERTIS-IV
3709697,VERTEXPLUS-SM
6086401,VERITAAS-SM
682497,VERA-SM
2275841,VERANDA
3547905,VENUSREM
2455553,VENUSPIPES
7384833,VENTIVE
961793,VENKEYS
3735041,VELS-SM
2741761,VEEKAYEM-SM
3588865,VEEDOL
784129,VEDL
6413825,VDEAL-SM
2309121,VCL
4843777,VBL
6487041,VASWANI
4636161,VASCONEQ
326145,VASA-SM
987393,VARROC
1764609,VARDMNPOLY-BE
2872321,VARDHACRLC
194946817,VALUE
84481,VALIANTORG
4919809,VALIANTLAB
6617857,VAL30IETF
3415553,VAKRANGEE
4246785,VAISHALI
2909185,VAIBHAVGBL
6194177,VADILALIND
3780097,V2RETAIL
6560257,UYFINCORP
1521921,UWCSL-SM
3424257,UTTAMSUGAR
6329857,UTSSAV-SM
194528257,UTLSOLAR
4443649,UTKARSHBNK
134913,UTIAMC
3807233,USK-BE
2263041,USHAMART
6643713,USHAFIN-SM
2716161,USASEEDS-SM
5171969,URJA
4323329,URBAN-SM
194325505,URBANCO
4370177,URAVIDEF
2889473,UPL
3623425,UNOMINDA
4521217,UNIVPHOTO-BE
923393,UNIVCABLES
4858113,UNIVASTU
4607745,UNITEDTEA
1935361,UNITEDPOLY
920065,UNITECH
2674433,UNITDSPR
3342593,UNIPARTS
7599873,UNIONGOLD
2752769,UNIONBANK
7413761,UNIMECH
6562049,UNILEX-SM
1994497,UNIINFO
4759297,UNIHEALTH-ST
2891009,UNIENTER
6351105,UNIECOM
51457,UNIDT
916225,UNICHEMLAB
2303489,UMIYA-MRO
4901121,UMESLTD-BE
3417345,UMA-SM
2263553,UMAEXPORTS
2952193,ULTRACEMCO
3898369,UJJIVANSFB
6639361,UHTL-SM
1360129,UGROCAP
5011969,UGARSUGAR
2313985,UFO
269569,UFLEX
800513,UFBL
6017793,UEL
4892929,UDS
2873089,UCOBANK
1078785,UCL-ST
913921,UCAL
4278529,UBL
194683393,TWCGOLDETF
4737025,TVVISION
2886401,TVTODAY
3646721,TVSSRICHAK
4647169,TVSSCS-BE
2170625,TVSMOTOR
194852097,TVSMNCRPS-P1
194201089,TVSINVIT-IV
7426049,TVSHLTD
2883841,TVSELECT
6277121,TUNWAL-SM
2292225,TTML
3665409,TTL-BE
907777,TTKPRESTIG
2910465,TTKHLTCARE
558849,TSFINV
194011649,TSC-SM
5994753,TRUST-SM
194357761,TRUALT
2400769,TRU
6308353,TROM-SM
3348737,TRIVENI
6549505,TRITURBINE
1389569,TRIGYN
4405761,TRIDHYA-SM
2479361,TRIDENT
4604673,TRF
502785,TRENT
4555521,TREL
1924609,TREJHARA
6422017,TREEHOUSE-BE
193931521,TRAVELFOOD
801025,TRANSWORLD
5442561,TRANSWIND-SM
5069057,TRANSTEEL-SM
7350785,TRANSRAILL
2964993,TRACXN
2360065,TPLPLASTEH
5279233,TPL26-N3
4350977,TPHQ
4328449,TOUCHWOOD
5740289,TOTAL
3529217,TORNTPOWER
900609,TORNTPHARM
194666241,TOP20
193991937,TOP15IETF
6443777,TOP10ADD
6164737,TOP100CASE
6467073,TOLINS
982273,TOKYOPLAST
899073,TNTELE
1018881,TNPL
898305,TNPETRO
2273793,TNIDETF
884737,TMPV
194504193,TMCV
2801921,TMB
897537,TITAN
3945985,TITAGARH
194744321,TIT45-N0
5598209,TIRUPATI-SM
5704705,TIRUPATIFL-BE
894977,TIRUMALCHM
2333953,TIPSMUSIC
2911745,TIPSFILMS
193541121,TINNARUBR
3634689,TIMKEN
3764993,TIMETECHNO
1996801,TIMESCAN-SM
891905,TIL
6524417,TIJARIA-BE
79873,TIINDIA
3641089,TIIL
194349057,TIGERLOGS
4992257,TICL
4914177,TI
4360193,THYROCARE
7940353,THOMASCOTT
891137,THOMASCOOK
6565889,THESL-SM
889601,THERMAX
3708161,THEMISMED
193795585,THELEELA
4935425,THEJO
5485313,THEINVEST
4638209,THANGAMAYL
6023681,TGL-ST
3739393,TGBHOTELS
3665665,TFL
887297,TFCILTD
5587969,TEXRAIL
4662785,TEXMOPIPES
2956545,TEXINFRA
4938753,TERASOFT
194529281,TENNIND
838401,TEMBO
5409537,TEJASNET
7609089,TEJASCARGO-SM
1818881,TEGA
883969,TECILCHEM
1649921,TECHNOE
3465729,TECHM
5395969,TECHLABS-SM
6566913,TECHERA-SM
194339329,TECHD-SM
1654273,TECH
3255297,TEAMLEASE
2743553,TEAMGTY
6445569,TDPOWERSYS
2953217,TCS
47105,TCPLPACK
5830913,TCL-SM
6035969,TCL26-NG
2232833,TCIFINANCE-BE
4921089,TCIEXP
2708481,TCI
4324865,TCHF30-NB
195024385,TCC
6921473,TBZ
6077441,TBOTEK
6148865,TBI-SM
194497537,TAURIAN-SM
1321473,TATVA
5485569,TATSILV
5195009,TATATECH
895745,TATASTEEL
877057,TATAPOWER
414977,TATAINVEST
5478657,TATAGOLD
873217,TATAELXSI
878593,TATACONSUM
952577,TATACOMM
871681,TATACHEM
194371841,TATACAP
5143553,TASTYBITE
1777409,TARSONS
3782401,TARMAT-BE
3884545,TARIL
404737,TARC
4819713,TARAPUR
6019073,TARACHAND
2812417,TAPIFRUIT-SM
3577857,TANLA
193622529,TANKUP-ST
3493889,TALBROAUTO
3819521,TAKE-BE
2394625,TAJGVK
869377,TAINWALCHM
6000129,TAC-SM
194394881,SYSTMTXC
3713537,SYSTANGO-SM
2763009,SYRMA
4403969,SYNOPTICS-SM
2622209,SYNGENE
3069953,SYNCOMF
6192641,SYMPHONY
6212353,SYLVANPLY-SM
3197185,SWSOLAR
6928897,SWIGGY
3048705,SWELECTES
2941953,SWASTIK-SM
2204673,SWARAJ-ST
866305,SWARAJENG
7465985,SWANDEF-BE
6936321,SWANCORP
1285889,SVPGLOB-BE
3870977,SVLL
3076609,SUZLON
6361857,SUYOG
767489,SUVIDHAA
2875649,SUVEN
3533057,SUTLEJTEX
760321,SURYODAY
864001,SURYAROSNI
3034113,SURYALAXMI
2179329,SURANI-SM
2739201,SURANAT&P
5395713,SURANASOL
6997505,SURAKSHA
6391297,SURAJLTD
5330433,SURAJEST
1891841,SUPRIYA
5393153,SUPREMEPWR-SM
3435265,SUPREMEINF-BZ
860929,SUPREMEIND
194303233,SUPREMEENG-BZ
7536385,SUPREME
2992385,SUPRAJIT
