symbol,token
AARADHYA-SM,194078721
AAREYDRUGS,1342721
AARNAV,195026177
AARON,263681
AARTECH,4389121
AARTIDRUGS,1147137
AARTIIND,1793
AARTIPHARM,3550209
AARTISURF,4923649
AARTISURF-P1,3102977
AARVI,4882689
AATMAJ-SM,4342017
AAVAS,1378561
AB10BKINAV,7835393
ABAN-BE,1986305
ABB,3329
ABBOTINDIA,4583169
ABCAPITAL,5533185
ABCL020925-N0,194302209
ABCL26-N3,193521153
ABCL28-N6,193521921
ABCOTS,194337281
ABCRESET27-NM,193526017
ABCRESET28-N0,194321153
ABDL,6222849
ABFRL,7707649
ABGSEC,6247425
ABGSECINAV,6249217
ABHAPOWER-SM,6984705
ABHF26625-N0,193927425
ABINFRA,6917121
ABLBL,193751809
ABMINTLLTD-BE,1421057
ABNINT-IT,2198529
ABREL,160001
ABSL10BANK,194623233
ABSLAMC,1540609
ABSLBAINAV,2550785
ABSLBANETF,3580673
ABSLLIQUID,3716609
ABSLLQINAV,3718145
ABSLMSCIN,194832897
ABSLNN50ET,1878785
ABSLNNINAV,2553089
ABSLPSE,6094337
ABSMARINE-SM,6088449
ABSMSCINAV,7834881
ABSPSEINAV,6095617
ACC,5633
ACCELYA,1805569
ACCENTMIC-SM,5244929
ACCORD-SM,5431553
ACCPL-SM,193797377
ACCURACY,375041
ACE,3478273
ACEINTEG,3015425
ACETEC-SM,194844673
ACI,3078145
ACL,3947521
ACMESOLAR,6927617
ACTIVEINFR-SM,7798785
ACUTAAS,1427969
ADANIENSOL,2615553
ADANIENT,6401
ADANIGREEN,912129
ADANIPORTS,3861249
ADANIPOWER,4451329
ADDICTIVE-SM,5751809
ADFFOODS,5058817
ADL,62721
ADOR,8705
ADROITINFO,1267969
ADSL,3792129
ADVAIT,194728193
ADVANCE,194406913
ADVANIHOTR,3774721
ADVENTHTL,194500865
ADVENZYMES,4617985
AEGISLOG,10241
AEGISVOPAK,193878017
AEPL,194900481
AEQUS,194619905
AEROENTER,3075841
AEROFLEX,4676609
AERONEU,3504385
AERON-SM,6416641
AESTHETIK-SM,6356481
AETHER,2511361
AFCONS,6650113
AFFLE,2903809
AFFORDABLE,6618881
AFIL-BE,6184961
AFSL,3401729
AGARIND,867585
AGARWALEYE,7539713
AGARWALFT-SM,3651329
AGARWALTUF-SM,6991105
AGI,361473
AGIIL,6257921
AGNI-SM,2685697
AGRITECH,2834433
AGROPHOS,2315777
AGSTRA-BZ,194355713
AGUL-SM,3877633
AHCL,194295809
AHIMSA-ST,2757121
AHLADA,513025
AHLEAST,4976129
AHLUCONT,4565249
AHLWEST,4957697
AIAENG,3350017
AIIL,6029569
AILIMITED-SM,1184257
AIMTRON-SM,6139905
AIRAN,2533633
AIROLAM,1553409
AISL-SM,123393
AJANTPHARM,2079745
AJAXENGG,7583745
AJMERA,4430593
AJOONI,871169
AKANKSHA-SM,5406977
AKASH,3458561
AKG,557057
AKI,3811841
AKIKO-ST,6222593
AKSHAR,2446849
AKSHARCHEM,5165569
AKSHOPTFBR,2199297
AKUMS,6327041
AKZOINDIA,375553
ALANKIT,2539777
ALBERTDAVD,4417537
ALCODIS-SM,4803073
ALEMBICLTD,20225
ALGOQUANT,194885121
ALICON,3495937
ALIVUS,1347841
ALKALI,4341505
ALKEM,2995969
ALKYLAMINE,1148673
ALLCARGO,3456257
ALLDIGI,3020289
ALLETEC-SM,3379969
ALLTIME,194162689
ALMONDZ,4280065
ALOKINDS,4524801
ALPA,3801089
ALPEXSOLAR-SM,5808129
ALPHA,1897473
ALPHA27-N1,5851137
ALPHAETF,5027841
ALPHAGEO,3736833
ALPHAINAV,5029121
ALPL30IETF,5720065
ALSDG-SF,194967297
ALSDP-SF,194967809
ALSRG-SF,194968321
ALSRP-SF,194968833
ALUWIND-SM,6009345
AMAGI,194749441
AMANTA,194280705
AMBANIORGO-ST,1045505
AMBER,303361
AMBEY-SM,6250241
AMBICAAGAR,2942977
